Post_ID,Account_Name,Platform,Category,Post_Type,Post_Date,Post_Text,Followers_At_Post,Reach,Impressions,Likes,Comments_Count,Shares,Is_Sponsored
1117.0,أزياء العرب,تيك توك,أزياء,story,2025-04-14,إطلالات بسيطة وأنيقة لكل يوم,15980,2678.0,3017,193.0,27.0,28.0,
1917.0,بوابة الأحداث,فيس بوك,اخبار,ستوري ,2025-08-24,ملخص أهم الأخبار المحلية اليوم,3489,1943.0,2027,-139.0,18.0,5.0,Yes
3197.0,أخبار الرياضة,انستغرام,رياضة ,صور,23-10-2024,أخبار الانتقالات الصيفية,44840,7711.0,11443,761.0,92.0,72.0,1
3248.0,أزياء العرب ✅,تيك توك,موضة,reels,2025-12-06,نصائح لاختيار الألوان المناسبة لبشرتك,23296,8690.0,18078,486.0,68.0,13.0,
2977.0,جادجت العرب  ,تيك توك,تكنولوجيا,ريلز,25/06/2025,نصائح لحماية حسابك من الاختراق,38387,11850.0,17964,534.0,75.0,68.0,0
3334.0, منصة التعليم,يوتيوب,تعليم ,video,2025-04-21,شرح مبسط لأهم قواعد اللغة العربية,33165,15798.0,27462,1116.0,87.0,58.0,
3389.0,أكاديمية المعرفة,insta,تعليم,reels,,نصائح للطلاب الجدد في الجامعة,60930,15258.0,30224,216.0,12.0,34.0,1
2729.0,جادجت العرب,إنستغرام,تكنولوجيا,فيديو,,نصائح لحماية حسابك من الاختراق,45731,9212.0,9406,525.0,39.0,12.0,
1742.0,أزياء  العرب,تيكتوك,أزياء,reels,23/04/2025,موديلات جديدة من أشهر الماركات,17528,4771.0,8654,441.0,28.0,38.0,
2361.0,تكنولوجيا  بلس,انستجرام,تكنولوجيا,Reel,2025-11-21,كل ما تريد معرفته عن الذكاء الاصطناعي,535156,70137.0,97454,3377.0,405.0,176.0,No
3243.0,بوابة  الأحداث,فيسبوك,News,image,24/08/2024,تفاصيل جديدة حول الحدث الذي شغل الرأي العام,39266,14801.0,31293,399.0,30.0,31.0,
3527.0,اتعلم اونلاين,تيكتوك,تعليم,منشور نصي,21-05-2024,خطوات عملية لتعلم مهارة جديدة,5356,2445.0,4247,145.0,8.0,10.0,
3891.0,وصفات ماما,تويتر, طبخ,منشور نصي,27-08-2025,حلويات رمضان بمكونات بسيطة,77847,,15462,346.0,21.0,10.0,
2168.0,أزياء العرب,تويتر,موضة ,منشور نصي,26/01/2024,موديلات جديدة من أشهر الماركات,16724,5245.0,9795,180.0,21.0,28.0,
790.0,موضة اليوم  ,انستجرام,موضة,صوره,03/04/2024,موديلات جديدة من أشهر الماركات,104591,50995.0,59646,873.0,39.0,24.0,
3188.0,ملعب  مصر,youtube,رياضة,story,14/12/2024,أهم أحداث مباراة اليوم بالتفصيل,36161,20684.0,30034,936.0,62.0,82.0,0
1052.0,تكنولوجيا بلس,Twitter,تقنيه,منشور نصي,02/04/2025,خمس تطبيقات تساعدك في تنظيم وقتك,61009,14340.0,17974,394.0,54.0,33.0,
3156.0, موضة اليوم,انستجرام,أزياء,reels,26-05-2025,إطلالات بسيطة وأنيقة لكل يوم,4549,1857.0,2379,34.0,2.0,1.0,نعم
3641.0,اليوم السابع نيوز ✅,youtube,أخبار,صور,19/12/2025,تغطية مباشرة لفعاليات المؤتمر,9591,1428.0,2156,122.0,17.0,2.0,Yes
1041.0,أخبار الرياضة ✅,انستجرام,كورة,صورة,2024-02-12,تحليل فني لأداء الفريق هذا الموسم,9692,935.0,1068,23.0,2.0,3.0,1
1171.0,بوابة الأحداث,انستجرام,اخبار,منشور نصي,2025-10-28,آخر التطورات في الساعات الماضية,10368,5498.0,10148,69.0,7.0,13.0,Yes
2162.0,موضة اليوم  ,Instagram,موضة ,ريلز,,نصائح لاختيار الألوان المناسبة لبشرتك,6721,3150.0,6132,228.0,11.0,41.0,
3276.0,موضة اليوم,إنستغرام,موضة ,ريلز,16/10/2025,إطلالات بسيطة وأنيقة لكل يوم,18645,7540.0,9175,249.0,15.0,29.0,
1990.0, منصة التعليم,Twitter,تعليم ,فيديو,02/06/2025,خطوات عملية لتعلم مهارة جديدة,202488,48958.0,72466,4215.0,382.0,808.0,
774.0,موضة اليوم,يوتيوب ,أزياء,reels,15/02/2024,أحدث صيحات الموضة لهذا الموسم,11698,3473.0,5387,41.0,5.0,2.0,لا
306.0,كورة كل يوم  ,فيسبوك,كورة,ستوري,2025-02-06,أخبار الانتقالات الصيفية,84746,17289.0,35096,643.0,75.0,104.0,
2548.0,وصفات ماما ✅,X,أكل وطبخ,story,06-06-2025,أسرار المطبخ اللي محدش بيقولهالك,42831,23468.0,39694,"1,159",114.0,138.0,
3477.0,موضة  اليوم,tiktok,أزياء,reels,03/03/2025,إطلالات بسيطة وأنيقة لكل يوم,18713,7900.0,11831,45.0,5.0,7.0,0
1108.0,أكاديمية  المعرفة,إنستغرام,تعليم,image,,خطوات عملية لتعلم مهارة جديدة,96611,38661.0,48924,2911.0,237.0,370.0,1
3387.0,عالم التقنية ✅,FB,Tech,نص,2025-04-03,كل ما تريد معرفته عن الذكاء الاصطناعي,41796,6948.0,7279,150.0,12.0,25.0,نعم
3722.0, وصفات ماما,فيسبوك ,Food,text,2024-09-23,طريقة عمل الكنافة بالقشطة خطوة بخطوة,49168,28700.0,48180,439.0,27.0,22.0,
4116.0, ستايل بنات,tiktok,أزياء,فديو,04/08/2025,أحدث صيحات الموضة لهذا الموسم,8146,3458.0,5354,154.0,4.0,11.0,
706.0,ضحك  ونكت,تويتر,ترفيه,صورة,15/06/2024,مقاطع مضحكة من كواليس التصوير,80993,18217.0,38430,165.0,22.0,20.0,Yes
1759.0,جادجت العرب  ,YouTube,تقنيه,صور,26/12/2024,خمس تطبيقات تساعدك في تنظيم وقتك,18829,2502.0,4365,112.0,13.0,12.0,Yes
3035.0,أخبار الرياضة,YouTube,Sports,video,2024-06-07,تشكيلة المنتخب المتوقعة في المباراة القادمة,57050,31566.0,46417,1527.0,162.0,,
2422.0,كورة كل يوم,تويتر(X),Sports,ستوري,24-05-2024,أهم أحداث مباراة اليوم بالتفصيل,18465,7432.0,12935,324.0,37.0,40.0,
3106.0,اتعلم اونلاين,انستغرام,تعليم,ريلز,2024-03-11,كيف تذاكر بفعالية قبل الامتحانات,137783,72801.0,138110,3463.0,459.0,676.0,
2718.0,اتعلم اونلاين,تيك توك,تعليم ,صورة,2024-04-01,نصائح للطلاب الجدد في الجامعة,70038,16472.0,28710,1491.0,105.0,146.0,1
276.0, تكنولوجيا بلس,TikTok,Tech,ستوري ,29/03/2024,مقارنة بين أفضل اللابتوبات لعام هذا,22992,13246.0,14342,109.0,5.0,6.0,
738.0,فوازير رمضان ✅,فيس بوك,ترفيه,Reel,28/10/2024,تحدي جديد بين المتابعين,22431,3208.0,6970,264.0,25.0,14.0,لا
743.0,منصة  التعليم,insta,تعليم,صور,28/02/2024,دورة مجانية لتعلم أساسيات البرمجة,44780,23616.0,40140,1548.0,49.0,150.0,نعم
702.0, منصة التعليم,youtube,تعليم ,,04/10/2025,دورة مجانية لتعلم أساسيات البرمجة,8905,4530.0,5171,35.0,4.0,2.0,
4016.0,كوميديا العرب ✅,إنستغرام,ترفيه,image,2025-12-13,أطرف المواقف اللي حصلت الأسبوع ده,27759,14578.0,24541,"1,227",121.0,189.0,نعم
2051.0,ضحك ونكت,تيك توك,كوميدي,video,2024-12-14,مقاطع مضحكة من كواليس التصوير,22023,8117.0,12662,413.0,31.0,10.0,
1123.0,اتعلم اونلاين ✅,تويتر,تعليم ,Reel,2025-08-25,دورة مجانية لتعلم أساسيات البرمجة,50519,10397.0,10400,198.0,26.0,10.0,
2018.0,وصفات ماما ✅,TikTok,طبخ ,ستوري,2024-09-22,حلويات رمضان بمكونات بسيطة,53977,25200.0,43884,1765.0,237.0,223.0,نعم
2070.0,أخبار  الرياضة,يوتيوب,رياضة ,فيديو ,22/09/2025,أخبار الانتقالات الصيفية,37022,12266.0,22667,291.0,16.0,48.0,
2569.0, اليوم السابع نيوز,تيكتوك,اخبار,فديو,19/08/2025,ملخص أهم الأخبار المحلية اليوم,29357,17219.0,32229,1369.0,159.0,199.0,نعم
899.0,كورة كل يوم  ,FB,رياضة ,ستوري ,2025-01-06,أفضل اللقطات من الجولة الأخيرة,27619,2668.0,5253,241.0,31.0,33.0,نعم
3604.0,فوازير رمضان,Twitter,ترفيه,reels,28-06-2025,أفضل خمس مشاهد كوميدية هذا العام,35192,17759.0,37506,833.0,24.0,17.0,1
3266.0,كورة كل يوم,Twitter,رياضة ,image,2024-10-30,أهم أحداث مباراة اليوم بالتفصيل,24618,13336.0,16237,643.0,55.0,107.0,
1598.0,مطبخ سارة  ,يوتيوب,طبخ,منشور نصي,09/04/2024,أكلة اقتصادية وسهلة التحضير,103810,20953.0,32107,224.0,27.0,8.0,لا
378.0,أزياء  العرب,يوتيوب ,أزياء,ستوري ,2024-03-13,إطلالات بسيطة وأنيقة لكل يوم,38211,10275.0,14009,89.0,4.0,,1
363.0,موضة اليوم,Instagram,موضة ,ستوري ,,نصائح لاختيار الألوان المناسبة لبشرتك,18805,4666.0,6179,344.0,42.0,61.0,
2791.0,وصفات ماما ✅,X,أكل وطبخ,ستوري ,12/09/2025,أكلة اقتصادية وسهلة التحضير,115849,47309.0,71376,927.0,83.0,183.0,0
3956.0,ستايل بنات,YouTube,موضة,Reel,2024-06-16,إطلالات بسيطة وأنيقة لكل يوم,21873,7154.0,9805,364,,43.0,
2271.0,ضحك ونكت,Facebook,كوميدي,صوره,27/07/2024,  أطرف المواقف اللي حصلت الأسبوع ده   ,28501,8077.0,13336,353.0,8.0,32.0,1
2142.0,بوابة الأحداث ✅,يوتيوب,News,text,25/02/2024,ملخص أهم الأخبار المحلية اليوم,18711,6439.0,11046,244.0,6.0,36.0,لا
1731.0,أكاديمية  المعرفة,insta,تعليم ,فيديو,04-09-2025,نصائح للطلاب الجدد في الجامعة,45176,21604.0,28051,1722.0,120.0,272.0,لا
1782.0,تكنولوجيا بلس,يوتيوب ,تكنولوجيا,story,03-04-2025,مقارنة بين أفضل اللابتوبات لعام هذا,18238,5330.0,8652,381.0,30.0,62.0,1
1120.0, منصة التعليم,تويتر(X),Education,ريلز,08/08/2024,خطوات عملية لتعلم مهارة جديدة,39036,10300.0,10886,842.0,38.0,87.0,Yes
2437.0,اليوم  السابع  نيوز,tiktok,اخبار,,2024-12-12,آخر التطورات في الساعات الماضية,970652,323174.0,544027,2044.0,230.0,65.0,
417.0,ستايل بنات,insta,موضة,reels,2024-11-19,نصائح لاختيار الألوان المناسبة لبشرتك,12973,5081.0,7117,345.0,9.0,54.0,نعم
1391.0,عالم التقنية,youtube,تكنولوجيا,Reel,16/01/2025,كل ما تريد معرفته عن الذكاء الاصطناعي,54806,23274.0,44280,1402.0,198.0,,0
3155.0,ستايل بنات ✅,تويتر (X),موضة ,ستوري,04/01/2024,أحدث صيحات الموضة لهذا الموسم,146747,64956.0,67305,2104.0,139.0,330.0,
2621.0,منصة التعليم,تيك توك,تعليم,نص,2025-08-16,نصائح للطلاب الجدد في الجامعة,26106,11732.0,21337,158.0,18.0,23.0,
3138.0,مطبخ سارة,tiktok,Food,ريلز,2025-12-02,حلويات رمضان بمكونات بسيطة,219041,46651.0,54341,1815.0,145.0,94.0,
2979.0,مطبخ  سارة,تيكتوك,أكل وطبخ,فديو,2025-08-24,طريقة عمل الكنافة بالقشطة خطوة بخطوة,10319,3940.0,4207,242.0,25.0,43.0,
1377.0,أخبار الرياضة,youtube,Sports,فيديو ,13/02/2024,تحليل فني لأداء الفريق هذا الموسم,637437,204288.0,342907,11480.0,1348.0,411.0,Yes
595.0, وصفات ماما,YouTube,طبخ,صورة,2025-10-18,حلويات رمضان بمكونات بسيطة,60209,30444.0,33373,1552.0,198.0,246.0,
1684.0,كوميديا العرب,Instagram,كوميدي,نص,2024-06-13,تحدي جديد بين المتابعين,21809,8489.0,13674,1003.0,102.0,94.0,No
49.0,اليوم  السابع  نيوز,تويتر(X),News,text,2024-01-07,بيان رسمي حول القرار الأخير,116211,47911.0,57278,538.0,12.0,65.0,
3326.0,موضة اليوم,تويتر (X),موضة,ستوري ,,موديلات جديدة من أشهر الماركات,44772,3106.0,4578,235.0,7.0,35.0,نعم
3088.0,منصة التعليم  ,يوتيوب,تعليم ,نص,2024-06-02,خطوات عملية لتعلم مهارة جديدة,48997,27258.0,51971,1769.0,174.0,49.0,0
1290.0,كورة كل يوم  ,Facebook,Sports,ريلز,2024-11-27,  أخبار الانتقالات الصيفية   ,70519,18516.0,23210,1425.0,86.0,139.0,1
1791.0,اتعلم اونلاين,Twitter,تعليم,ستوري,,دورة مجانية لتعلم أساسيات البرمجة,65584,28273.0,57709,822.0,120.0,10.0,1
3105.0,ضحك ونكت ✅,YouTube,ترفيه,صوره,24/11/2024,أطرف المواقف اللي حصلت الأسبوع ده,119286,67696.0,125646,6288.0,677.0,409.0,
,منصة التعليم ✅,تيك توك,,image,28/10/2025,دورة مجانية لتعلم أساسيات البرمجة,33014,13137.0,27829,215.0,23.0,,
4109.0,عالم التقنية,تيك توك,تقنيه,text,2025-03-03,مقارنة بين أفضل اللابتوبات لعام هذا,27501,15127.0,20621,"1,095",149.0,176.0,No
2429.0,ملعب مصر,انستغرام,رياضة ,ستوري ,10/03/2025,أخبار الانتقالات الصيفية,8206,614.0,880,42.0,4.0,3.0,
1698.0,كورة كل يوم  ,X,كورة,Reel,,أهم أحداث مباراة اليوم بالتفصيل,36554,15583.0,19613,560.0,11.0,108.0,نعم
1152.0,ضحك ونكت,فيسبوك ,Entertainment,video,28/03/2025,تحدي جديد بين المتابعين,110425,62669.0,99245,3333.0,422.0,384.0,
3743.0,أخبار الرياضة,X,رياضة ,story,22/02/2025,أفضل اللقطات من الجولة الأخيرة,11670,2726.0,5235,68.0,6.0,8.0,نعم
2086.0,ستايل بنات ✅,X,موضة ,صوره,2025-01-07,أحدث صيحات الموضة لهذا الموسم,39100,20406.0,28789,723.0,100.0,11.0,Yes
1197.0,أخبار الرياضة,TikTok,Sports,video,2024-06-11,تشكيلة المنتخب المتوقعة في المباراة القادمة,266208,116829.0,141711,3672.0,,131.0,
1730.0,بوابة الأحداث ✅,تويتر(X),أخبار,نص,15/04/2025,ملخص أهم الأخبار المحلية اليوم,27715,5797.0,10405,355.0,,46.0,لا
3562.0, وصفات ماما,يوتيوب ,Food,Reel,2024-02-23,أسرار المطبخ اللي محدش بيقولهالك,147902,55611.0,114727,4450.0,283.0,274.0,1
714.0,موضة اليوم ✅,انستجرام,أزياء,story,23/12/2025,أفكار تنسيق ملابس اقتصادية,18066,9699.0,10708,626.0,44.0,104.0,لا
2639.0, أخبار مصر الآن,insta,أخبار,فيديو ,2025-08-13,ملخص أهم الأخبار المحلية اليوم,71959,18564.0,32517,630.0,35.0,12.0,
3047.0,كوميديا  العرب,FB,كوميدي,text,2024-11-11,نكت وضحك من غير توقف,79334,12629.0,12681,970.0,71.0,91.0,No
434.0, وصفات ماما,فيسبوك ,طبخ ,ستوري,10/02/2025,وصفة سريعة ولذيذة لعشاء اليوم,46138,7389.0,12857,598.0,52.0,13.0,
3691.0,اتعلم اونلاين ✅,فيسبوك,تعليم ,فديو,2025-10-16,كيف تذاكر بفعالية قبل الامتحانات,141883,54904.0,97534,5429.0,376.0,767.0,
1105.0, اليوم السابع نيوز,إنستغرام,News,صوره,2024-11-21,ملخص أهم الأخبار المحلية اليوم,60207,24692.0,31460,654.0,23.0,40.0,0
413.0, عالم الطبخ,youtube,طبخ ,ستوري ,,حلويات رمضان بمكونات بسيطة,59914,4698.0,7543,389.0,16.0,63.0,0
211.0,ستايل بنات,تويتر,أزياء,نص,17/07/2025,نصائح لاختيار الألوان المناسبة لبشرتك,90972,40380.0,53590,1376.0,59.0,191.0,
1439.0,ملعب مصر,Instagram,رياضة,فيديو,2024-10-10,أخبار الانتقالات الصيفية,62606,14273.0,28637,225.0,8.0,5.0,نعم
52.0,بوابة الأحداث  ,إنستغرام,اخبار,منشور نصي,21/02/2024,ملخص أهم الأخبار المحلية اليوم,65402,6667.0,12131,63.0,8.0,0.0,0
671.0,اليوم السابع نيوز,تويتر,اخبار,ستوري ,2024-10-01,تغطية مباشرة لفعاليات المؤتمر,102343,25153.0,29635,1713.0,119.0,60.0,
2315.0,اتعلم اونلاين,tiktok,تعليم ,صوره,,دورة مجانية لتعلم أساسيات البرمجة,21373,12462.0,23017,358.0,13.0,14.0,
3038.0, كورة كل يوم,انستجرام,كورة,text,26-07-2024,أفضل اللقطات من الجولة الأخيرة,130563,52819.0,110303,3407.0,502.0,490.0,No
2909.0,كورة كل يوم  ,تيك توك,كورة,video,16/09/2024,أفضل اللقطات من الجولة الأخيرة,76725,6414.0,9775,646.0,38.0,119.0,
3140.0, موضة اليوم,youtube,موضة ,,,أحدث صيحات الموضة لهذا الموسم,44659,13859.0,20831,1035.0,74.0,75.0,
1770.0,كوميديا العرب,تيكتوك,كوميدي,ريلز,2025-11-10,نكت وضحك من غير توقف,5807,3017.0,5086,114.0,8.0,7.0,
2480.0,فوازير  رمضان,يوتيوب,ترفيه,text,2025-09-28,مقاطع مضحكة من كواليس التصوير,42856,19551.0,30797,"1,051",,17.0,1
2586.0,ملعب مصر,Instagram,رياضة ,story,30-06-2025,تشكيلة المنتخب المتوقعة في المباراة القادمة,18741,3242.0,4312,202.0,4.0,11.0,
357.0,ستايل بنات,فيسبوك,موضة,نص,2024-12-15,نصائح لاختيار الألوان المناسبة لبشرتك,27874,4858.0,8591,480.0,31.0,63.0,
1410.0,كوميديا العرب ✅,إنستغرام,Entertainment,صور,2024-08-04,أفضل خمس مشاهد كوميدية هذا العام,79943,11015.0,13727,702.0,16.0,90.0,1
1475.0,مطبخ سارة,يوتيوب, طبخ,ستوري,13-10-2025,طريقة عمل الكنافة بالقشطة خطوة بخطوة,83324,24305.0,32992,877.0,108.0,49.0,
815.0,ستايل بنات,يوتيوب ,موضة ,فيديو ,07-09-2025,نصائح لاختيار الألوان المناسبة لبشرتك,73382,8890.0,12899,123.0,9.0,19.0,
2760.0,تكنولوجيا  بلس,YouTube,تقنية,صورة,23/12/2024,خمس تطبيقات تساعدك في تنظيم وقتك,14945,6747.0,8240,261.0,21.0,39.0,نعم
1700.0,عالم الطبخ,انستغرام,طبخ ,reels,05/07/2024,أسرار المطبخ اللي محدش بيقولهالك,33990,18750.0,23129,1407.0,189.0,269.0,0
1778.0,أكاديمية المعرفة,انستجرام,تعليم,ستوري ,08/10/2025,خطوات عملية لتعلم مهارة جديدة,301583,162254.0,164389,12293.0,308.0,2103.0,No
3134.0,ستايل بنات ✅,Instagram,أزياء,منشور نصي,2024-02-14,إطلالات بسيطة وأنيقة لكل يوم,48041,4403.0,8182,394.0,47.0,32.0,لا
2527.0,أخبار مصر الآن ✅,Instagram,News,text,2024-11-08,بيان رسمي حول القرار الأخير,11173,1199.0,2175,90.0,6.0,8.0,
591.0,بوابة الأحداث,تيكتوك,اخبار,صور,2025-01-13,تفاصيل جديدة حول الحدث الذي شغل الرأي العام,33609,12804.0,21742,481.0,17.0,40.0,
1051.0, ضحك ونكت,تويتر (X),ترفيه,نص,,مقاطع مضحكة من كواليس التصوير,13382,4939.0,10297,179.0,7.0,23.0,
200.0,كورة كل يوم  ,Facebook,رياضة,ريلز,07/11/2025,أخبار الانتقالات الصيفية,246232,79642.0,138689,6921.0,165.0,1293.0,
2195.0,بوابة الأحداث ✅,انستغرام,اخبار,story,18/04/2025,آخر التطورات في الساعات الماضية,23511,1364.0,2803,29.0,1.0,2.0,0
162.0,منصة التعليم ✅,يوتيوب,تعليم,صورة,2024-06-06,دورة مجانية لتعلم أساسيات البرمجة,130411,51995.0,85686,3164.0,376.0,357.0,0
2686.0,فوازير رمضان,إنستغرام,ترفيه,Reel,2025-01-24,نكت وضحك من غير توقف,91500,20643.0,22492,287.0,,50.0,
1326.0,أخبار  الرياضة,يوتيوب,رياضة,صورة,22/05/2024,تحليل فني لأداء الفريق هذا الموسم,37413,6848.0,10122,44.0,1.0,0.0,
1803.0,بوابة الأحداث ✅,TikTok,News,صور,2024-06-12,  تفاصيل جديدة حول الحدث الذي شغل الرأي العام   ,16733,5290.0,9745,99.0,6.0,19.0,Yes
2927.0,ضحك ونكت,TikTok,ترفيه,ريلز,2025-02-19,مقاطع مضحكة من كواليس التصوير,105678,15311.0,15828,662.0,73.0,108.0,لا
3488.0,اليوم السابع نيوز ✅,تيك توك,News,منشور نصي,2024-06-04,تغطية مباشرة لفعاليات المؤتمر,46738,14421.0,31093,588.0,31.0,62.0,1
2608.0,ملعب مصر  ,تيك توك,Sports,Reel,24/06/2024,أهم أحداث مباراة اليوم بالتفصيل,66438,28690.0,45609,1214.0,102.0,241.0,Yes
3096.0,ملعب مصر,انستجرام,رياضة ,reels,10/06/2025,تشكيلة المنتخب المتوقعة في المباراة القادمة,92876,5852.0,12450,294.0,6.0,5.0,1
3191.0,تكنولوجيا بلس,فيس بوك,تكنولوجيا,صورة,2024-03-27,نصائح لحماية حسابك من الاختراق,19248,5151.0,9205,473.0,53.0,37.0,0
4020.0,كورة كل يوم ✅,تيك توك,رياضة ,ريلز,06-08-2025,تشكيلة المنتخب المتوقعة في المباراة القادمة,30995,17821.0,36041,1577.0,200.0,78.0,
3774.0, أخبار الرياضة,انستغرام,كورة,Reel,2025-01-10,تحليل فني لأداء الفريق هذا الموسم,21733,7394.0,15748,501.0,28.0,61.0,
1869.0,أخبار الرياضة  ,YouTube,رياضة,فيديو,27-02-2024,تشكيلة المنتخب المتوقعة في المباراة القادمة,8680,1516.0,2345,163.0,6.0,2.0,
3301.0,موضة اليوم,TikTok,موضة,image,2024-03-15,أفكار تنسيق ملابس اقتصادية,56359,6473.0,6949,172.0,15.0,18.0,
515.0,مطبخ سارة  ,youtube, طبخ,,15/11/2024,أسرار المطبخ اللي محدش بيقولهالك,98377,55535.0,67912,2580.0,72.0,71.0,
2535.0,ملعب مصر  ,يوتيوب,كورة,فيديو,24/12/2024,أفضل اللقطات من الجولة الأخيرة,37847,9768.0,18700,386.0,44.0,57.0,0
891.0,ملعب مصر  ,TikTok,رياضة ,,16/04/2025,أخبار الانتقالات الصيفية,94494,55075.0,87076,556.0,71.0,110.0,
2066.0,اتعلم اونلاين  ,FB,Education,ريلز,31/01/2025,شرح مبسط لأهم قواعد اللغة العربية,10391,4335.0,8781,407.0,20.0,34.0,
460.0,موضة اليوم ✅,يوتيوب ,موضة ,صورة,03/11/2025,موديلات جديدة من أشهر الماركات,11641,5489.0,9333,469.0,58.0,50.0,Yes
319.0,ضحك ونكت,youtube,Entertainment,فيديو ,2025-01-17,مقاطع مضحكة من كواليس التصوير,5568,3131.0,4622,39.0,1.0,2.0,Yes
654.0,أخبار مصر الآن,Twitter,أخبار,reels,2025-11-20,آخر التطورات في الساعات الماضية,42961,19130.0,21669,173.0,8.0,3.0,No
893.0,مطبخ سارة,انستغرام,Food,صوره,2025-01-09,وصفة سريعة ولذيذة لعشاء اليوم,32366,6339.0,11557,511.0,64.0,10.0,
3530.0,أزياء العرب,Twitter,موضة ,image,03/03/2025,إطلالات بسيطة وأنيقة لكل يوم,110582,42181.0,92703,649.0,23.0,89.0,
3232.0,ستايل  بنات,tiktok,أزياء,ستوري ,26/04/2024,موديلات جديدة من أشهر الماركات,60347,18035.0,29089,1107.0,96.0,59.0,
3220.0,عالم التقنية ✅,يوتيوب,تقنية,video,22/09/2024,مراجعة كاملة لأحدث هاتف صدر هذا الشهر,22206,6924.0,12300,69.0,2.0,2.0,No
2020.0, جادجت العرب,FB,تقنية,ستوري,26-04-2024,خمس تطبيقات تساعدك في تنظيم وقتك,132754,56146.0,102267,1672.0,,267.0,0
4062.0,أزياء العرب  ,فيس بوك,موضة,text,25-01-2025,إطلالات بسيطة وأنيقة لكل يوم,49874,23570.0,32880,2558.0,64.0,32.0,
1550.0,كورة كل يوم,TikTok,كورة,صور,01-12-2024,أهم أحداث مباراة اليوم بالتفصيل,17080,4738.0,7146,397.0,21.0,37.0,No
326.0, منصة التعليم,فيسبوك,تعليم ,ستوري,2024-01-08,خطوات عملية لتعلم مهارة جديدة,148885,66728.0,76381,4548.0,406.0,168.0,
688.0,أزياء العرب,تيكتوك,أزياء,صورة,24/11/2025,إطلالات بسيطة وأنيقة لكل يوم,57669,33821.0,57099,1287.0,37.0,232.0,نعم
